sy_snum,sy_pnum,st_mass
1,4,1.21
1,4,1.21
1,4,1.21
1,4,1.21
1,4,0.42
1,4,0.42
1,4,0.42
1,4,0.42
1,4,0.32
1,4,0.32
1,4,0.32
1,4,0.32
1,4,1.07
1,4,1.07
1,4,1.07
1,4,1.07
1,4,1.08
1,4,1.08
1,4,1.08
1,4,1.08
1,4,0.70
1,4,0.70
1,4,0.70
1,4,0.81
1,4,0.77
1,4,0.77
1,4,0.77
1,4,0.77
1,4,1.61
1,4,1.61
1,4,1.61
1,4,1.51
1,4,0.46
1,4,0.46
1,4,0.46
1,4,0.46
1,4,0.98
1,4,0.98
1,4,0.98
1,4,0.98
1,4,0.83
1,4,0.83
1,4,0.83
1,4,0.83
1,4,0.27
1,4,0.27
1,4,0.27
1,4,0.27
1,4,1.00
1,4,1.00
1,4,1.00
1,4,1.00
1,4,1.24
1,4,1.24
1,4,1.24
1,4,1.24
1,4,0.63
1,4,0.63
1,4,0.63
1,4,0.63
1,4,0.94
1,4,0.94
1,4,0.94
1,4,0.94
1,4,1.00
1,4,1.00
1,4,1.00
1,4,1.00
1,4,0.79
1,4,0.79
1,4,0.79
1,4,0.87
1,4,1.16
1,4,1.16
1,4,1.16
1,4,1.16
1,4,0.94
1,4,0.94
1,4,0.94
1,4,0.94
1,4,0.65
1,4,0.65
1,4,0.65
1,4,0.65
1,4,0.82
1,4,0.82
1,4,0.82
1,4,0.82
1,4,1.12
1,4,1.12
1,4,1.12
1,4,1.12
1,4,0.82
1,4,0.82
1,4,0.82
1,4,0.82
1,4,0.58
1,4,0.58
1,4,0.58
1,4,0.58
1,4,1.03
1,4,1.03
1,4,0.98
1,4,0.98
1,4,0.86
1,4,0.86
1,4,0.86
1,4,0.86
1,4,0.95
1,4,0.95
1,4,0.95
1,4,0.95
1,4,0.97
1,4,0.97
1,4,0.97
1,4,0.97
1,4,0.54
1,4,0.54
1,4,0.62
1,4,0.62
1,4,0.98
1,4,0.98
1,4,0.98
1,4,0.98
1,4,0.79
1,4,0.79
1,4,0.97
1,4,0.97
1,4,0.96
1,4,0.96
1,4,0.96
1,4,0.96
1,4,0.95
1,4,0.95
1,4,0.95
1,4,0.95
1,4,0.80
1,4,0.80
1,4,0.80
1,4,0.80
1,4,0.76
1,4,0.76
1,4,0.85
1,4,0.82
1,4,0.81
1,4,0.81
1,4,0.81
1,4,0.81
1,4,1.20
1,4,1.20
1,4,1.20
1,4,1.14
1,4,1.00
1,4,1.00
1,4,1.00
1,4,1.00
1,4,1.26
1,4,1.26
1,4,1.26
1,4,1.26
1,4,0.87
1,4,0.80
1,4,0.80
1,4,0.80
1,4,1.15
1,4,1.15
1,4,1.15
1,4,1.15
1,4,0.88
1,4,0.88
1,4,0.88
1,4,0.88
1,4,0.55
1,4,0.55
1,4,0.55
1,4,0.55
1,4,1.25
1,4,1.25
1,4,1.25
1,4,1.25
1,4,1.16
1,4,1.16
1,4,1.16
1,4,1.16
1,4,1.17
1,4,1.17
1,4,1.17
1,4,1.17
1,4,0.92
1,4,0.92
1,4,0.87
1,4,0.92
1,4,1.10
1,4,1.10
1,4,1.10
1,4,1.10
1,4,1.04
1,4,1.04
1,4,1.04
1,4,1.04
1,4,0.78
1,4,0.78
1,4,0.78
1,4,0.78
